Variable,tau=0.1,tau=0.15,tau=0.2,tau=0.25,tau=0.3,tau=0.35,tau=0.4,tau=0.45,tau=0.5,tau=0.55,tau=0.6,tau=0.65,tau=0.7,tau=0.75,tau=0.8,tau=0.85,tau=0.9
intercept,14.6040060837157,15.2287830828664,16.6282611775405,17.0831397391651,17.744058200665,19.3114532208252,19.5109220793856,20.0222761601543,21.1562277297801,21.6306558449059,22.5026567393812,22.6187323950289,24.0808871210943,24.3973346424971,24.6722575543647,25.2306251104228,26.8641026121666
hvlt_immediaterecall,0,0.0276698283170418,0.031805168566496,0.0675151893985865,0.0696784023261997,0.05261263534212,0.0524655735991808,0.0437137027180709,0.0324966155575554,0.00706609099197651,0.0145062500710282,0.0107907013685214,0.0147515372606072,0.0201331279975424,0.0138729733271916,0.00525971641728416,0.0115459358410893
HVLTRDLY,0.287391336516393,0.278153500955806,0.268038815545976,0.182787098850427,0.140290643264065,0.174477223955729,0.185837763082871,0.195189227311121,0.18579892189113,0.179008494610661,0.19694962408089,0.191549959216433,0.188454446421043,0.175222829067057,0.15417579699765,0.172453892557993,0.122032930922628
hvlt_discrimination,0.0382639821227618,0,0,0,0,0,0,0,-0.0382750572190869,-0.00786288147177231,0,-0.0331395920430314,0,0,0,0,0
HVLTFPRL,0,0,0,-0.00507737690492006,-0.039347757035589,-0.0502098072213693,-0.0625592418753498,-0.0431955716113262,-0.143005929875233,-0.082923609239995,-0.019869789468151,-0.0896694525378261,-0.011294828072676,-0.00943632890470415,0,0,-0.0372612878134435
HVLTREC,0,0,0,0,0,0,0.00770449759868583,0.0183332561558592,0.0788523715589645,0.113082920315076,0.0591877461676466,0.114908920495001,0.0504648501491005,0.0234750203520601,0,0,0
hvlt_retention,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VLTANIM,0.015631903555992,0.0203761904031638,0.0231580599456566,0.036110725333191,0.0387010504229225,0.0454028575881556,0.0454653403954009,0.039820931598879,0.0321160642923981,0.0432062436026503,0.0255042443651725,0.0254257445498696,0.0226750777363334,0.0260076935130066,0.0300335407035108,0.0185740234017311,0.0068144916478404
SDMTOTAL,0.0540566072386787,0.050176189905537,0.0394604061895215,0.0402748840223449,0.0369754508329034,0.0229534419983113,0.0274171072847301,0.0279711427358353,0.0236623138615503,0.0189880426106453,0.0165736545932084,0.0163045664097897,0.0115464507683597,0.0138660944714751,0.00932512946017528,0.00773660912448928,0.00581805498929732
bjlot,0.0614200749177119,0.10743284807468,0.0743530220861737,0.0884029176909631,0.0893346745573795,0.0972400049625227,0.0606655950095892,0.0803860467765397,0.105496698234324,0.0693119168471581,0.0535518999883926,0.0649934874592408,0.0433181304970088,0.0353765789055268,0.0505831216146989,0.0326304831347414,0.00573434463193202
