Variable,tau=0.1,tau=0.15,tau=0.2,tau=0.25,tau=0.3,tau=0.35,tau=0.4,tau=0.45,tau=0.5,tau=0.55,tau=0.6,tau=0.65,tau=0.7,tau=0.75,tau=0.8,tau=0.85,tau=0.9
intercept,15.4302607453212,16.0401540090509,17.5567715029045,18.394624932591,18.9211908739105,20.0763363379903,20.3321892014386,20.6056132106377,21.2305269147084,21.5161208352121,22.6409168292849,22.6653802813511,24.2484023228172,24.5631148413257,25.0402095543076,25.54007250392,27.0070579415592
hvlt_immediaterecall,0,0.747085364560128,0.858739551295391,1.82291011376184,1.88131686280739,1.42054115423724,1.41657048717788,1.18026997338792,0.877408620053995,0.190784456783366,0.391668751917763,0.291348936950079,0.398291506036396,0.543594455933645,0.374570279834172,0.142012343266672,0.311740267709411
HVLTRDLY,3.44869603819671,3.33784201146968,3.21646578655171,2.19344518620512,1.68348771916878,2.09372668746875,2.23005315699445,2.34227072773345,2.22958706269356,2.14810193532793,2.36339548897067,2.2985995105972,2.26145335705252,2.10267394880468,1.8501095639718,2.06944671069592,1.46439517107154
hvlt_discrimination,0.459167785473142,0,0,0,0,0,0,0,-0.459300686629042,-0.0943545776612677,0,-0.397675104516377,0,0,0,0,0
HVLTFPRL,0,0,0,-0.0304642614295203,-0.236086542213534,-0.301258843328216,-0.375355451252099,-0.259173429667957,-0.858035579251395,-0.49754165543997,-0.119218736808906,-0.538016715226957,-0.0677689684360561,-0.0566179734282249,0,0,-0.223567726880661
HVLTREC,0,0,0,0,0,0,0.0924539711842299,0.21999907387031,0.946228458707574,1.35699504378091,0.71025295401176,1.37890704594001,0.605578201789206,0.281700244224721,0,0,0
hvlt_retention,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VLTANIM,0.625276142239678,0.815047616126554,0.926322397826264,1.44442901332764,1.5480420169169,1.81611430352622,1.81861361581604,1.59283726395516,1.28464257169592,1.72824974410601,1.0201697746069,1.01702978199478,0.907003109453338,1.04030774052026,1.20134162814043,0.742960936069246,0.272579665913616
SDMTOTAL,4.21641536461694,3.91374281263188,3.07791168278268,3.1414409537429,2.88408516496646,1.79036847586828,2.13853436820895,2.18174913339516,1.84566048120092,1.48106732363034,1.29274505827026,1.2717561799636,0.900623159932054,1.08155536877506,0.727360097893672,0.603455511710164,0.453808289165191
bjlot,0.859881048847967,1.50405987304552,1.04094230920643,1.23764084767348,1.25068544380331,1.36136006947532,0.849318330134249,1.12540465487156,1.47695377528054,0.970366835860213,0.749726599837496,0.909908824429371,0.606453826958123,0.495272104677375,0.708163702605785,0.456826763886379,0.0802808248470483
lns,3.643767452551,3.57939800415093,3.89543767804335,2.82964295084388,2.8263270969707,2.37891090169144,2.07626762762779,1.93714199889776,1.55690387827517,1.80460881378262,1.95021498855496,1.81043832524952,1.23378995930735,1.06343528178501,1.15973789047116,1.01183269035925,0.811457051198416
ess,0,0,0,0,0,0,0,0.0233391853225727,0.104161007954909,0,0,0.290897131578464,0.25503800740411,0.253899415257314,0,0.148192783327679,0
gds,0.0335390784616973,0,1.29205974039538,0.987620757266088,0.847183715625516,0.54750758974695,0.753559487104281,0.485625909089626,1.11217988274252,0.763340869555043,0.781372995019097,0.811031941732721,0.185679795728387,0.339827475232573,0,0,0
upsit,0,0,0,0.12892568351045,0.444505095855964,0.295809832382368,0.293660732224202,0.289401609731283,0.163543331220583,0.1892245587186,0,-0.119135088176391,-0.100699643707105,-0.0771652285914611,-0.00666848687049764,-0.0874002476439407,-0.168199886926675
stai,0,0,0,0,0,0,0.0334648794820303,0.0170345269027007,0.0145523706747358,0.257525387169646,0,0.0265527451151438,0.331875892811864,0,0.112633401183721,0,0.0728148420684176
pigd,0,0,0,0,0,-0.49533024824363,0,0,-0.0834655052916127,0,0,-0.390597418178948,0,0,0,0,0
quip,0,0,-0.114798677152196,-0.255985413178106,-0.340382740179778,-0.239618857897014,-0.326134852680936,0,-0.643221258674211,-1.11653198284215,-0.515484705730591,-0.517493166329529,-0.0390003363100083,0,0,0,0
rem,0,0,0,0,0,0,0,0.257642526336501,0.544110372963918,0.416910922114999,0,-0.0725839207191224,-0.134160441258045,-0.0324814598659358,0,0,0
scopa,0,0,0,-0.146088034217746,-0.243115548170456,0,0,0.152219423030146,0.88238137521662,0.919164574737826,0,0.552021147148623,0,0,0,0,0
updrs1_score,-0.896478465403853,-0.809076050604086,-1.92028161589991,-1.54015594924442,-1.16106231990177,-0.757238224465106,-0.675361030878505,-0.871107237071854,-1.80108424234345,-1.67003559464397,-1.20910010923463,-1.47632851245196,-1.11189779995388,-0.845732997366133,-0.462376288767223,-0.364606039155126,-0.0977415645662232
updrs2_score,0,0.112177327739209,0.233135324865956,0.471671103805022,0,0,0,0,0,0.0270148862336363,0,0.0164870234699494,0,0,0,0,0
