Variable,tau=0.1,tau=0.15,tau=0.2,tau=0.25,tau=0.3,tau=0.35,tau=0.4,tau=0.45,tau=0.5,tau=0.55,tau=0.6,tau=0.65,tau=0.7,tau=0.75,tau=0.8,tau=0.85,tau=0.9
intercept,8.1745905845259,10.9981055705553,13.2062644013024,14.544156001349,15.4199248146021,16.8231246638476,18.0644603624578,18.8026607704781,19.5409799813283,20.7356497296446,21.3610480302898,22.0106225079464,23.0038139199113,24.8040259789549,26.6691329348818,27.7978508041449,29.0667467825647
hvlt_immediaterecall,3.48446342187951e-05,0,0,0.000127585018382407,0,0,0,0,0,0,0,0,0,0,0,0,0
HVLTRDLY,0.21461797839301,0.269164900890527,0.269000149998002,0.22777507849644,0.195727720849999,0.21570797906503,0.230695549634584,0.224571683100991,0.21079971199329,0.187985136290482,0.193996692218465,0.197575910076951,0.197619038132855,0.192157697877104,0.204031630775272,0.174494040378917,0.147431523408659
hvlt_discrimination,0.0331837453296563,0.00614539334753192,0.0323453876924378,0.0489785561805144,0.0449629632815407,0.0388250154353121,0.0444350742812972,0.0396637632456375,0.0400442528574422,0.0525409064889664,0.0608461746555272,0.0673877014976817,0.0139503787042217,0.0195188874508865,0,0,0.00155809753950117
HVLTFPRL,-0,-0,-1.52587890625e-07,-1.23830942015956e-06,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,0,0,-0
HVLTREC,0.25706994607394,0.184336795217355,0.0911003718393139,0.0153211384042151,0.0504459370864088,0.0409594177470888,0.0426944310580932,0.0749009138483653,0.0980587247931617,0.101682005733528,0.102917931583688,0.10377709445117,0.143028370769134,0.0523089361268852,0.0715668854031641,0.0710394381076507,0.0448389954848074
hvlt_retention,9.89234683180939e-06,0,0,2.44140625e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
VLTANIM,0.0300006999929024,0.0372413598660117,0.0445962781641744,0.0548454884121879,0.0518807695993575,0.0506419714296707,0.0468630103259911,0.0468494687177899,0.0493423220498663,0.0412295634059862,0.0358372658060287,0.0336624710793556,0.033474199842911,0.0325496565396298,0.0361097183627836,0.0293334683675397,0.0209008991243733
SDMTOTAL,0.052977195971907,0.0469203870532455,0.0429516315474273,0.0480836714104552,0.0484768433721651,0.0461943859310443,0.0381515094485901,0.0366626855687328,0.0340092588218123,0.0323471055514066,0.0286170991362033,0.0282840747542363,0.0259676892583473,0.0229135244776152,0.0136327186162603,0.0121598913613559,0.011071000039839
bjlot,0.1887206185028,0.112836434429487,0.0882528675121749,0.10619129200768,0.116603486254755,0.118468721150788,0.0933815100440262,0.0758693700051864,0.0885854389018146,0.0652637636494994,0.0586686057805558,0.0231249320163093,0.0398686957854396,0.0504729601496251,0,0.046737875730643,0.0327218121340589
lns,0.210023469052601,0.213726237187842,0.194680820448218,0.211164384498011,0.19550763380465,0.148872546761618,0.146463881515502,0.135885909014449,0.118234313941164,0.113370025916134,0.113844066517107,0.113902065883859,0.105758068741653,0.0882220738372308,0.0826830441154958,0.0628716475200864,0.0785528055004419
ess,-5.87293836805242e-05,-0,0,-1.78661487115999e-05,0,0,0,0,0,0,0,0,-3.0517578125e-08,0,0,0,0
gds,-0,-1.07934542084535e-05,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0
upsit,3.61879260058877e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stai,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
pigd,-0,-0,0,-0,-0,-0,-0,0,0,-0,-0,0,-0,0,0,0,0
quip,-0.000939575050050508,-4.40868681721441e-05,-3.8511587197263e-05,-0,0,0,-0,0,0,-0,-0,0,-0,-0,-0,0,0
rem,0,0,0,-0,0,0,0,0,0,-0,0,0,-0,0,0,0,0
scopa,-0,-0,0,-0,0,0,0,0,0,-0,0,0,-0,0,0,0,0
updrs1_score,-0,-0,0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,0,0,-0
updrs2_score,-1.88784165815873e-06,-0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,0,0,0
updrs3_score,-0,-0,0,-0,-0,-3.85248591101115e-06,-0,0,0,-0,0,0,-0,0,0,0,0
MCI_testscores,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
APOE_e4,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0
age,-0,-3.19495889454787e-07,-6.52701204666569e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
SEX,-0,-0,0,-0,0,-6.1798095703125e-06,0,0,-0,-0,0,-0,-0,0,0,0,-0
fampd_bin,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0
race_modified,0,0,0,5.63401442312283e-05,0,0,0,0,0,0,0,0,-0,0,0,0,0
handed_right,-0,-0.000805399151198571,0,-0,0,0,0,0,0,0,0,-0,-0,-3.90815734863281e-05,0,0,-0.00015625
handed_left,7.60327214720746e-06,1.953125e-05,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,-0
