tau,variable,NCQR_slope,UNIQUE_slope
0.25,upsit,0.032,0
0.25,gds,0.027,-0
0.25,scopa,0.039,-0
0.25,lns,0.067,0.054
0.25,hvlt_discrimination,-0.106,0
0.25,hvlt_immediaterecall,0.004,0
0.25,hvlt_retention,-1.516,0.001
0.25,HVLTFPRL,-0.177,-0
0.25,HVLTRDLY,0.256,0.203
0.25,HVLTREC,0.383,0.198
0.25,VLTANIM,0.046,0.054
0.25,SDMTOTAL,0.027,0.037
0.25,bjlot,0.053,0
0.25,rem,0.101,-0
0.25,updrs2_score,-0.008,-0
0.25,updrs3_score,-0.016,-0
0.25,age,0.024,-0
0.25,pigd,-0.284,-0
0.5,upsit,0.009,0
0.5,gds,0.027,0
0.5,scopa,0.039,0
0.5,lns,0.067,0.035
0.5,hvlt_discrimination,-0.106,0.001
0.5,hvlt_immediaterecall,0.004,0.002
0.5,hvlt_retention,-1.516,0.013
0.5,HVLTFPRL,-0.177,-0
0.5,HVLTRDLY,0.256,0.293
0.5,HVLTREC,0.383,0.188
0.5,VLTANIM,0.046,0.037
0.5,SDMTOTAL,0.027,0.03
0.5,bjlot,0.053,0
0.5,rem,0.079,0
0.5,updrs2_score,-0.008,-0
0.5,updrs3_score,-0.002,-0
0.5,age,0.016,-0
0.5,pigd,-0.279,-0
0.75,upsit,-0.015,0
0.75,gds,0.027,0
0.75,scopa,0.036,0
0.75,lns,0.067,0.036
0.75,hvlt_discrimination,-0.106,0
0.75,hvlt_immediaterecall,0.004,0.004
0.75,hvlt_retention,-1.516,0.041
0.75,HVLTFPRL,-0.177,0
0.75,HVLTRDLY,0.25,0.314
0.75,HVLTREC,0.379,0.238
0.75,VLTANIM,0.046,0.041
0.75,SDMTOTAL,0.023,0.003
0.75,bjlot,0.053,0
0.75,rem,0.079,0
0.75,updrs2_score,-0.008,0
0.75,updrs3_score,0.003,0
0.75,age,0.016,0
0.75,pigd,-0.279,0
