tau,variable,univariate_QR_slope,lasso_QR_slope
0.25,upsit,0.083,0.027
0.25,gds,-0.2,0.002
0.25,scopa,-0.091,0.025
0.25,lns,0.25,0.05
0.25,hvlt_discrimination,0.375,0
0.25,hvlt_immediaterecall,0.2,0.042
0.25,hvlt_retention,4,0
0.25,HVLTFPRL,-0.5,0
0.25,HVLTRDLY,0.5,0.066
0.25,HVLTREC,1,0.277
0.25,VLTANIM,0.143,0.046
0.25,SDMTOTAL,0.1,0.035
0.25,bjlot,0.222,0.02
0.25,rem,-0.125,0.094
0.25,updrs2_score,-0.167,0
0.25,updrs3_score,-0.059,-0.016
0.25,age,-0.054,0.017
0.25,pigd,-3.333,-0.097
0.5,upsit,0.04,0
0.5,gds,0,0
0.5,scopa,-0,0
0.5,lns,0.2,0.017
0.5,hvlt_discrimination,0.143,0
0.5,hvlt_immediaterecall,0.167,0.027
0.5,hvlt_retention,2.857,0
0.5,HVLTFPRL,-0.25,0
0.5,HVLTRDLY,0.333,0.139
0.5,HVLTREC,0.5,0.192
0.5,VLTANIM,0.111,0.025
0.5,SDMTOTAL,0.061,0.026
0.5,bjlot,0.143,0
0.5,rem,-0,0.007
0.5,updrs2_score,-0.077,0
0.5,updrs3_score,-0.033,-0
0.5,age,-0.043,0
0.5,pigd,-1.667,-0.075
0.75,upsit,0,0
0.75,gds,0,0
0.75,scopa,-0,0.003
0.75,lns,0.143,0.026
0.75,hvlt_discrimination,0,0
0.75,hvlt_immediaterecall,0.143,0.047
0.75,hvlt_retention,2.182,0
0.75,HVLTFPRL,0,0
0.75,HVLTRDLY,0.333,0.145
0.75,HVLTREC,0.5,0.118
0.75,VLTANIM,0.091,0.03
0.75,SDMTOTAL,0.048,0.006
0.75,bjlot,0,0.003
0.75,rem,-0,0
0.75,updrs2_score,-0,0
0.75,updrs3_score,0,0
0.75,age,-0,0
0.75,pigd,-0,0
